bundle,n_agents,coupling,seed_index,final_r,mean_r,t_r1_gt_0.5,t_r1_gt_0.9,mean_activity,mean_tau_social
v1,9,0.3,2,0.982022710755234,0.9230355989612837,5.0,14.0,0.9077777777777777,-0.005555555555555553
v1,9,0.3,3,0.9677688046570996,0.9616881650218414,0.0,6.0,0.9233333333333333,-0.00555555555555556
v1,9,0.3,4,0.971421139731082,0.9440951415443222,2.0,11.0,0.9333333333333335,-0.013333333333333332
v1,9,0.3,5,0.9853641146069475,0.8935889646027312,4.0,28.0,0.92,-0.06222222222222222
v1,9,0.3,6,0.982665744300236,0.9061753439045791,0.0,34.0,0.92,0.02222222222222222
v1,9,0.3,7,0.9679099550115776,0.9606335306962213,1.0,5.0,0.9155555555555555,0.002222222222222224
v1,9,0.3,8,0.9867317681426983,0.8014788741238887,12.0,48.0,0.9188888888888889,-0.0011111111111111115
v1,9,0.3,9,0.9771475487338227,0.9721937533851291,0.0,0.0,0.9155555555555555,-5.551115123125783e-18
v1,9,0.3,10,0.9848841230704483,0.9233381092041423,3.0,16.0,0.9166666666666665,0.007777777777777779
v1,9,0.3,11,0.9896597689484605,0.921914035261651,5.0,13.0,0.9155555555555556,0.04666666666666666
v1,17,-0.15,0,0.056562441723082016,0.09541862291250137,nan,nan,0.8788235294117647,-0.07529411764705882
v1,17,-0.15,1,0.0917678180896268,0.09546120456937218,nan,nan,0.868235294117647,-0.05058823529411764
v1,17,-0.15,2,0.01605046766366146,0.13236278575838686,nan,nan,0.886470588235294,-0.07235294117647059
v1,17,-0.15,3,0.11428945371837862,0.07973421316447375,nan,nan,0.8594117647058823,-0.1488235294117647
v1,17,-0.15,4,0.1184474510299309,0.10576337692468997,nan,nan,0.8723529411764708,-0.05823529411764706
v1,17,-0.15,5,0.1117523182930718,0.09444392931777561,nan,nan,0.8758823529411766,-0.11352941176470586
v1,17,-0.15,6,0.0653219001751307,0.09729088585907852,nan,nan,0.8735294117647059,-0.08058823529411764
v1,17,-0.15,7,0.07917833110358355,0.0861623094607573,nan,nan,0.8788235294117647,-0.08470588235294117
v1,17,-0.15,8,0.13543548268428168,0.07923635211604871,nan,nan,0.8535294117647058,-0.13941176470588235
v1,17,-0.15,9,0.07691799456744562,0.08949714128932347,nan,nan,0.8441176470588236,-0.14176470588235296
v1,17,-0.15,10,0.20430605931799153,0.1220907083653924,nan,nan,0.8735294117647058,-0.13470588235294115
v1,17,-0.15,11,0.03200032309430535,0.1013835788754756,nan,nan,0.8764705882352941,-0.09764705882352942
v1,17,0.0,0,0.3162441631977807,0.21729510955367437,nan,nan,0.8958823529411766,-0.014705882352941175
v1,17,0.0,1,0.2510846686178067,0.267435863626972,nan,nan,0.89,-0.08176470588235295
v1,17,0.0,2,0.1523981763254949,0.2670847280659771,nan,nan,0.8894117647058821,-0.045882352941176464
v1,17,0.0,3,0.30787008834360635,0.25174697885347624,nan,nan,0.9076470588235295,-0.08411764705882353
v1,17,0.0,4,0.24918055219778745,0.14433712893360315,nan,nan,0.8800000000000001,-0.10588235294117647
