block,representation,profile,imbalance,realization,count_a,count_b,a0,a1,b1,R1,phi1_degrees,R2,activity,mean_entropy
block_2,moments_m1_m3,sparse_peer16_antipodal_8_8_r04_k6,8_8,4,8,8,-0.026844988704840676,0.008840790252054778,0.033584653838805774,0.0347287855496451,75.25209193353051,0.14201935795431836,0.0763888888888889,0.06611535040045473
block_2,moments_m1_m3,sparse_peer16_antipodal_8_8_r05_k6,8_8,5,8,8,-0.005673304052153999,0.012669308933636467,0.027245856655482553,0.030047430734540744,65.06159726220845,0.07016546819205949,0.04861111111111111,0.0973561917681663
block_2,moments_m1_m3,sparse_peer16_antipodal_9_7_r00_k6,9_7,0,9,7,-0.1088223312333106,0.987267228986709,0.29407672692924197,1.030134798340737,16.587185400963804,0.22972731763426887,1.0,0.11661028011705368
block_2,moments_m1_m3,sparse_peer16_antipodal_9_7_r01_k6,9_7,1,9,7,-0.05530623757171758,1.0812161642932907,0.21969091915867298,1.1033097905347704,11.485497058704873,0.2568937293906204,0.9930555555555556,0.12623732429149737
block_2,moments_m1_m3,sparse_peer16_antipodal_9_7_r02_k6,9_7,2,9,7,-0.06979123816380917,1.0695143361883106,0.4268413519886446,1.1515443782502768,21.756857987769987,0.17566480923794403,0.9861111111111112,0.17309858634306471
block_2,moments_m1_m3,sparse_peer16_antipodal_9_7_r03_k6,9_7,3,9,7,-0.10916575093991918,1.0048389364257162,0.2859345169856773,1.044729551683591,15.884103674622226,0.3593146517511412,0.9930555555555556,0.15983787450358947
block_2,moments_m1_m3,sparse_peer16_antipodal_9_7_r04_k6,9_7,4,9,7,-0.15342645089119472,1.109298663427593,0.3585697485868391,1.1658112151132676,17.912909897521924,0.3165773051610244,0.9930555555555556,0.08173577108431052
block_2,moments_m1_m3,sparse_peer16_antipodal_9_7_r05_k6,9_7,5,9,7,-0.0118952917667712,1.0301369152983608,0.454236742241135,1.1258388349414234,23.794981679569947,0.1165324845409797,1.0,0.0973561917681663
block_2,moments_m1_m3,sparse_peer16_antipodal_10_6_r00_k6,10_6,0,10,6,-0.012323395759272226,0.9779785287687064,0.23890588233465582,1.0067363226519166,13.727669563138438,0.4123306330679967,1.0,0.20197971886639576
block_2,moments_m1_m3,sparse_peer16_antipodal_10_6_r01_k6,10_6,1,10,6,0.00013480032590203097,1.0278553447098606,0.16488227713262235,1.040996049445465,9.11339780724488,0.26335016904021386,0.9930555555555556,0.18763325700319106
